severity,package,version,advisory,fixed_in,summary,url
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
MODERATE,qs,6.15.0,GHSA-x5fp-wj9c-mxmx,6.16.0,qs array-limit bypass via bracket-key comma parsing,https://osv.dev/GHSA-x5fp-wj9c-mxmx
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
MODERATE,vitest,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
MODERATE,qs,6.15.0,GHSA-x5fp-wj9c-mxmx,6.16.0,qs array-limit bypass via bracket-key comma parsing,https://osv.dev/GHSA-x5fp-wj9c-mxmx
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
MODERATE,vitest,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
MODERATE,qs,6.15.0,GHSA-x5fp-wj9c-mxmx,6.16.0,qs array-limit bypass via bracket-key comma parsing,https://osv.dev/GHSA-x5fp-wj9c-mxmx
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
MODERATE,vitest,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
MODERATE,qs,6.15.0,GHSA-x5fp-wj9c-mxmx,6.16.0,qs array-limit bypass via bracket-key comma parsing,https://osv.dev/GHSA-x5fp-wj9c-mxmx
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
MODERATE,vitest,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
MODERATE,qs,6.15.0,GHSA-x5fp-wj9c-mxmx,6.16.0,qs array-limit bypass via bracket-key comma parsing,https://osv.dev/GHSA-x5fp-wj9c-mxmx
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
MODERATE,vitest,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
HIGH,fast-uri,3.1.0,GHSA-f65p-4m7j-42xc,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to server-side request forgery via malformed IPv6 normalization,https://osv.dev/GHSA-f65p-4m7j-42xc
HIGH,fast-uri,3.1.0,GHSA-jqff-g426-hqxp,2.4.5 | 3.1.6 | 4.1.3,fast-uri vulnerable to host confusion via percent-encoded scheme normalization,https://osv.dev/GHSA-jqff-g426-hqxp
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
MODERATE,mocker,3.2.4,GHSA-82fw-gwwq-j7x9,4.1.11 | 5.0.0-rc.2,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,https://osv.dev/GHSA-82fw-gwwq-j7x9
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,qs,6.15.0,GHSA-4mjr-xmp4-gh2g,6.16.0,qs: Denial of Service via Attacker Controlled isBuffer,https://osv.dev/GHSA-4mjr-xmp4-gh2g
